state_residency,is_in_state,urban_centric_locale,student_aid_index,adjusted_gross_income,first_gen,pell_eligible,hs_gpa,sat_act_percentile,institutional_tier,cost_of_attendance,miles_from_campus,fafsa_submitted_month,fafsa_month_sin,fafsa_month_cos,demonstrated_interest,merit_scholarship_amt,need_grant_amt,total_aid_package,net_price,enrolled,net_price_to_income_ratio,financial_aid_discount_rate,unmet_financial_need_gap,engagement_velocity
MN,0,Suburb,20025.0,82833.0,0,0,2.93,53.0,R2 Doctoral,47148.0,72.1,11,-0.5,0.866,58.9,12939.0,6251.0,19190.0,27958.0,1,0.3375,0.407,7933.0,0.0465
FL,0,City,21358.0,105404.0,1,0,2.91,50.0,Regional Comprehensive,38927.0,127.1,12,-0.0,1.0,66.6,13292.0,4438.0,17730.0,21197.0,0,0.2011,0.4555,0.0,0.0769
CT,0,Suburb,5817.0,42604.0,1,1,2.38,39.0,Regional Comprehensive,44216.0,69.8,1,0.5,0.866,42.1,12281.0,20375.0,32656.0,11560.0,0,0.2713,0.7386,5743.0,0.0534
TN,0,Suburb,47440.0,241563.0,0,0,3.27,71.0,Regional Comprehensive,44067.0,100.2,2,0.866,0.5,68.0,21174.0,0.0,21174.0,22893.0,1,0.0948,0.4805,0.0,0.1176
CA,0,City,49200.0,164656.0,1,0,2.72,64.0,Liberal Arts College,80907.0,36.9,12,-0.0,1.0,70.2,26377.0,7098.0,33475.0,47432.0,0,0.2881,0.4137,0.0,0.0438
LA,0,Rural,30917.0,115572.0,0,0,3.24,56.0,R1 Research,73670.0,212.1,9,-1.0,-0.0,57.7,19087.0,9855.0,28942.0,44728.0,1,0.387,0.3929,13811.0,0.1406
TX,0,Rural,25412.0,114567.0,0,0,3.83,78.0,Regional Comprehensive,42883.0,152.3,2,0.866,0.5,61.1,20832.0,3895.0,24727.0,18156.0,0,0.1585,0.5766,0.0,0.1429
OH,1,City,17910.0,64323.0,1,0,3.71,81.0,R2 Doctoral,57903.0,6.7,11,-0.5,0.866,54.6,24763.0,6952.0,31715.0,26188.0,1,0.4071,0.5477,8278.0,0.1042
NJ,0,Rural,27552.0,143170.0,0,0,3.6,75.0,Liberal Arts College,80476.0,359.4,5,0.5,-0.866,88.8,34409.0,8417.0,42826.0,37650.0,1,0.263,0.5322,10098.0,0.0603
NC,0,Suburb,52080.0,195037.0,0,0,3.0,66.0,R1 Research,68026.0,105.3,4,0.866,-0.5,30.8,19671.0,3627.0,23298.0,44728.0,0,0.2293,0.3425,0.0,0.0379
IN,0,Suburb,16101.0,112620.0,1,0,3.02,42.0,Liberal Arts College,73241.0,150.2,8,-0.866,-0.5,83.1,23541.0,15939.0,39480.0,33761.0,1,0.2998,0.539,17660.0,0.1628
MA,0,Rural,7080.0,41748.0,1,1,1.56,17.0,Liberal Arts College,84213.0,282.8,2,0.866,0.5,73.2,14227.0,27014.0,41241.0,42972.0,0,1.0293,0.4897,35892.0,0.024
ND,0,Suburb,12974.0,61171.0,0,0,3.24,60.0,R1 Research,69980.0,178.8,3,1.0,0.0,52.2,18821.0,14466.0,33287.0,36693.0,0,0.5998,0.4757,23719.0,0.1628
WY,0,Suburb,14580.0,95134.0,0,0,2.49,51.0,Community College,21382.0,430.7,3,1.0,0.0,70.7,1944.0,1414.0,3358.0,18024.0,0,0.1895,0.157,3444.0,0.1757
MI,0,Suburb,27302.0,115056.0,0,0,3.65,99.0,R1 Research,71224.0,93.1,3,1.0,0.0,68.4,24943.0,9875.0,34818.0,36406.0,1,0.3164,0.4889,9104.0,0.1158
CA,0,City,16959.0,59529.0,1,0,2.81,61.0,R1 Research,68530.0,375.4,1,0.5,0.866,49.0,14714.0,10693.0,25407.0,43123.0,0,0.7244,0.3707,26164.0,0.1143
MD,0,Suburb,14844.0,41852.0,0,0,3.58,85.0,R2 Doctoral,47373.0,144.2,3,1.0,0.0,80.1,20477.0,5957.0,26434.0,20939.0,0,0.5003,0.558,6095.0,0.375
ME,0,Suburb,32799.0,196935.0,0,0,3.42,85.0,R2 Doctoral,62234.0,215.9,1,0.5,0.866,66.6,26294.0,7877.0,34171.0,28063.0,1,0.1425,0.5491,0.0,0.0571
NY,0,Suburb,-1500.0,29084.0,1,1,3.17,58.0,Community College,16284.0,193.6,5,0.5,-0.866,49.2,2637.0,6542.0,9179.0,7105.0,1,0.2443,0.5637,8605.0,0.0446
GA,0,City,5991.0,31960.0,0,1,2.78,50.0,Regional Comprehensive,48377.0,466.2,11,-0.5,0.866,81.6,15735.0,13108.0,28843.0,19534.0,0,0.6112,0.5962,13543.0,0.1389
OH,1,City,6597.0,24209.0,0,1,2.45,25.0,R1 Research,52623.0,78.2,8,-0.866,-0.5,67.5,6798.0,17087.0,23885.0,28738.0,0,1.1871,0.4539,22141.0,0.0645
CA,0,Town,5751.0,31909.0,0,1,2.27,19.0,Regional Comprehensive,48872.0,79.6,3,1.0,0.0,68.1,9253.0,19662.0,28915.0,19957.0,0,0.6254,0.5916,14206.0,0.0522
TN,0,City,30720.0,154521.0,0,0,2.71,48.0,Liberal Arts College,89832.0,64.6,3,1.0,0.0,79.8,27558.0,12294.0,39852.0,49980.0,1,0.3235,0.4436,19260.0,0.1304
PA,0,Suburb,24962.0,158292.0,0,0,2.87,51.0,Community College,17117.0,120.3,5,0.5,-0.866,59.8,3358.0,0.0,3358.0,13759.0,1,0.0869,0.1962,0.0,0.0734
MN,0,Town,7752.0,59676.0,1,1,3.19,68.0,Regional Comprehensive,41218.0,57.0,12,-0.0,1.0,72.5,14803.0,18042.0,32845.0,8373.0,1,0.1403,0.7969,621.0,0.0959
LA,0,Town,37204.0,89980.0,0,0,2.52,39.0,R1 Research,91966.0,42.0,12,-0.0,1.0,67.4,19997.0,12083.0,32080.0,59886.0,1,0.6655,0.3488,22682.0,0.0602
AL,0,City,12603.0,62470.0,0,0,3.31,63.0,R1 Research,76129.0,15.0,7,-0.5,-0.866,47.7,17751.0,17282.0,35033.0,41096.0,0,0.6579,0.4602,28493.0,0.025
OH,1,Rural,-787.0,26683.0,0,1,3.54,88.0,Community College,20806.0,7.2,3,1.0,0.0,58.2,5763.0,9819.0,15582.0,5224.0,0,0.1958,0.7489,6011.0,0.0816
NY,0,Town,55180.0,310841.0,0,0,2.31,21.0,Liberal Arts College,63474.0,1019.0,2,0.866,0.5,53.7,11453.0,1208.0,12661.0,50813.0,0,0.1635,0.1995,0.0,0.0796
WI,0,Suburb,46892.0,169365.0,0,0,3.64,83.0,R1 Research,62837.0,63.6,1,0.5,0.866,88.0,22739.0,3829.0,26568.0,36269.0,0,0.2141,0.4228,0.0,0.0583
SC,0,Town,23303.0,81242.0,0,0,2.62,55.0,Liberal Arts College,79117.0,934.9,1,0.5,0.866,36.3,24387.0,11041.0,35428.0,43689.0,1,0.5378,0.4478,20386.0,0.0638
NC,0,Town,7760.0,33988.0,0,1,3.86,97.0,R1 Research,68584.0,193.5,3,1.0,0.0,67.4,27123.0,26634.0,53757.0,14827.0,1,0.4362,0.7838,7067.0,0.1129
UT,0,Suburb,6132.0,53533.0,1,1,2.13,22.0,Regional Comprehensive,40479.0,120.3,1,0.5,0.866,91.5,5048.0,15291.0,20339.0,20140.0,0,0.3762,0.5025,14008.0,0.2264
TX,0,Suburb,13267.0,38233.0,0,0,2.81,24.0,R1 Research,74512.0,26.2,7,-0.5,-0.866,35.6,14147.0,16126.0,30273.0,44239.0,0,1.1571,0.4063,30972.0,0.0435
CT,0,Town,11217.0,67525.0,1,0,2.85,45.0,Community College,14729.0,127.3,1,0.5,0.866,68.0,2910.0,507.0,3417.0,11312.0,1,0.1675,0.232,95.0,0.0862
CA,0,Rural,13020.0,78680.0,0,0,2.37,59.0,Regional Comprehensive,46366.0,923.9,9,-1.0,-0.0,77.5,15901.0,7443.0,23344.0,23022.0,0,0.2926,0.5035,10002.0,0.0483
TX,0,Suburb,10428.0,49236.0,0,0,2.9,48.0,R1 Research,63895.0,650.3,2,0.866,0.5,55.5,15377.0,7975.0,23352.0,40543.0,0,0.8234,0.3655,30115.0,0.0833
MI,0,Town,6750.0,22089.0,0,1,3.32,67.0,Community College,20772.0,169.0,10,-0.866,0.5,57.4,4133.0,4473.0,8606.0,12166.0,0,0.5508,0.4143,5416.0,0.0909
CA,0,Town,64439.0,292167.0,0,0,2.95,55.0,Regional Comprehensive,45455.0,37.9,1,0.5,0.866,58.9,16869.0,0.0,16869.0,28586.0,1,0.0978,0.3711,0.0,0.0505
CA,0,Rural,10552.0,74684.0,1,0,2.59,45.0,Regional Comprehensive,47376.0,46.4,1,0.5,0.866,49.8,14012.0,9119.0,23131.0,24245.0,1,0.3246,0.4882,13693.0,0.0604
CA,0,Rural,12204.0,87443.0,0,0,2.34,21.0,Community College,22350.0,51.8,9,-1.0,-0.0,48.9,0.0,1606.0,1606.0,20744.0,0,0.2372,0.0719,8540.0,0.1333
OH,1,City,10064.0,46438.0,0,0,2.67,52.0,R2 Doctoral,37994.0,140.4,5,0.5,-0.866,47.7,12286.0,4020.0,16306.0,21688.0,0,0.467,0.4292,11624.0,0.1
CO,0,City,444.0,20442.0,1,1,2.87,55.0,Regional Comprehensive,40595.0,702.9,1,0.5,0.866,39.1,16239.0,16233.0,32472.0,8123.0,0,0.3974,0.7999,7679.0,0.0526
CA,0,Suburb,12573.0,59280.0,0,0,2.27,5.0,R1 Research,82814.0,155.6,11,-0.5,0.866,79.9,10653.0,11074.0,21727.0,61087.0,1,1.0305,0.2624,48514.0,0.2128
MA,0,Suburb,11093.0,49875.0,1,0,3.35,35.0,Community College,23232.0,92.2,6,0.0,-1.0,70.4,3445.0,2535.0,5980.0,17252.0,0,0.3459,0.2574,6159.0,0.0706
AL,0,Suburb,13427.0,104911.0,0,0,3.08,51.0,Regional Comprehensive,50766.0,644.2,4,0.866,-0.5,53.2,18784.0,5592.0,24376.0,26390.0,0,0.2515,0.4802,12963.0,0.0588
TX,0,Town,18625.0,120859.0,0,0,3.73,67.0,Regional Comprehensive,34511.0,45.3,7,-0.5,-0.866,48.9,14981.0,4112.0,19093.0,15418.0,1,0.1276,0.5532,0.0,0.0455
TX,0,Rural,20801.0,109187.0,0,0,2.57,43.0,Liberal Arts College,83020.0,133.8,5,0.5,-0.866,51.6,24992.0,10643.0,35635.0,47385.0,1,0.434,0.4292,26584.0,0.0584
OR,0,Suburb,38700.0,128227.0,0,0,2.08,15.0,Community College,16665.0,206.0,1,0.5,0.866,49.3,193.0,0.0,193.0,16472.0,0,0.1285,0.0116,0.0,0.0759
AL,0,Town,77652.0,230646.0,0,0,3.5,80.0,Regional Comprehensive,49031.0,51.2,11,-0.5,0.866,46.8,23459.0,0.0,23459.0,25572.0,1,0.1109,0.4785,0.0,0.0312
MI,0,City,17165.0,83341.0,0,0,3.46,79.0,R1 Research,69725.0,65.0,10,-0.866,0.5,38.3,22587.0,12161.0,34748.0,34977.0,0,0.4197,0.4984,17812.0,0.0303
AL,0,Suburb,25617.0,138890.0,0,0,1.66,,Regional Comprehensive,43488.0,59.9,5,0.5,-0.866,71.8,7303.0,2845.0,10148.0,33340.0,0,0.24,0.2334,7723.0,0.0472
CA,0,City,16126.0,89821.0,1,0,3.28,61.0,R1 Research,68466.0,560.8,4,0.866,-0.5,30.6,14099.0,9600.0,23699.0,44767.0,0,0.4984,0.3461,28641.0,0.0755
IL,0,Suburb,5349.0,16026.0,1,1,2.13,15.0,Regional Comprehensive,42301.0,945.7,9,-1.0,-0.0,63.2,9452.0,13154.0,22606.0,19695.0,0,1.2289,0.5344,14346.0,0.0877
MD,0,Suburb,12124.0,56317.0,0,0,3.43,83.0,Regional Comprehensive,39244.0,142.9,1,0.5,0.866,46.9,18143.0,7560.0,25703.0,13541.0,0,0.2404,0.655,1417.0,0.0316
FL,0,Town,9699.0,33700.0,0,0,3.5,72.0,Regional Comprehensive,43278.0,95.6,12,-0.0,1.0,69.3,20280.0,8634.0,28914.0,14364.0,1,0.4262,0.6681,4665.0,0.1053
WI,0,Suburb,13380.0,74357.0,0,0,3.85,99.0,Regional Comprehensive,45591.0,67.5,11,-0.5,0.866,50.7,22398.0,5701.0,28099.0,17492.0,0,0.2352,0.6163,4112.0,0.069
NC,0,Suburb,2248.0,35613.0,0,1,2.37,48.0,Liberal Arts College,91953.0,126.9,3,1.0,0.0,67.4,24764.0,40905.0,65669.0,26284.0,0,0.738,0.7142,24036.0,0.0672
WI,0,City,17747.0,97352.0,0,0,2.74,43.0,R2 Doctoral,59073.0,71.1,5,0.5,-0.866,48.0,17706.0,10692.0,28398.0,30675.0,0,0.3151,0.4807,12928.0,0.0795
GA,0,City,29908.0,127560.0,0,0,2.3,21.0,Regional Comprehensive,43696.0,114.4,6,0.0,-1.0,81.7,11437.0,3332.0,14769.0,28927.0,1,0.2268,0.338,0.0,0.1402
PA,0,Rural,37139.0,149727.0,1,0,3.06,46.0,Regional Comprehensive,43364.0,195.5,9,-1.0,-0.0,37.2,14747.0,1525.0,16272.0,27092.0,1,0.1809,0.3752,0.0,0.0149
FL,0,Rural,56174.0,201969.0,0,0,3.14,70.0,Regional Comprehensive,31563.0,82.8,10,-0.866,0.5,42.7,15791.0,0.0,15791.0,15772.0,0,0.0781,0.5003,0.0,0.0308
TX,0,Suburb,2097.0,18831.0,1,1,2.9,50.0,Regional Comprehensive,43236.0,103.8,7,-0.5,-0.866,43.7,14985.0,20229.0,35214.0,8022.0,0,0.426,0.8145,5925.0,0.0391
WI,0,City,3911.0,26548.0,0,1,3.72,73.0,R2 Doctoral,56806.0,104.3,9,-1.0,-0.0,54.4,23237.0,15093.0,38330.0,18476.0,0,0.6959,0.6748,14565.0,0.0886
CA,0,Suburb,91963.0,518154.0,0,0,2.34,42.0,Regional Comprehensive,42247.0,90.8,2,0.866,0.5,63.5,10730.0,0.0,10730.0,31517.0,1,0.0608,0.254,0.0,0.0826
CA,0,Suburb,33973.0,130204.0,1,0,1.95,27.0,R2 Doctoral,52840.0,79.7,4,0.866,-0.5,41.4,8965.0,4270.0,13235.0,39605.0,1,0.3042,0.2505,5632.0,0.0263
TX,0,Suburb,15343.0,73984.0,0,0,3.37,57.0,Regional Comprehensive,33831.0,282.1,10,-0.866,0.5,35.7,14130.0,5160.0,19290.0,14541.0,0,0.1965,0.5702,0.0,0.0276
TX,0,City,7830.0,64413.0,0,1,3.47,78.0,Regional Comprehensive,38743.0,19.7,7,-0.5,-0.866,37.4,14551.0,12831.0,27382.0,11361.0,0,0.1764,0.7068,3531.0,0.0548
AL,0,Suburb,26155.0,60419.0,1,0,3.35,76.0,Community College,16250.0,661.7,8,-0.866,-0.5,34.1,2317.0,0.0,2317.0,13933.0,0,0.2306,0.1426,0.0,0.0439
IL,0,City,7057.0,15642.0,1,1,3.19,84.0,Liberal Arts College,69769.0,146.1,3,1.0,0.0,52.6,30702.0,20670.0,51372.0,18397.0,0,1.1761,0.7363,11340.0,0.0707
SD,0,Suburb,6790.0,36095.0,0,1,3.19,60.0,Regional Comprehensive,31318.0,240.4,4,0.866,-0.5,91.4,12410.0,9469.0,21879.0,9439.0,0,0.2615,0.6986,2649.0,0.0811
TX,0,City,4976.0,58074.0,1,1,3.51,74.0,R1 Research,70291.0,271.3,1,0.5,0.866,69.3,23688.0,21937.0,45625.0,24666.0,0,0.4247,0.6491,19690.0,0.1238
MA,0,Suburb,5700.0,37593.0,0,1,3.03,65.0,R2 Doctoral,55460.0,60.2,6,0.0,-1.0,46.4,18083.0,23578.0,41661.0,13799.0,0,0.3671,0.7512,8099.0,0.048
GA,0,Suburb,9839.0,41303.0,0,0,3.49,90.0,R1 Research,75698.0,48.5,5,0.5,-0.866,54.4,25009.0,16276.0,41285.0,34413.0,1,0.8332,0.5454,24574.0,0.1233
IL,0,City,94487.0,397236.0,0,0,2.9,56.0,Regional Comprehensive,43065.0,42.9,12,-0.0,1.0,24.8,15125.0,0.0,15125.0,27940.0,0,0.0703,0.3512,0.0,0.0142
OK,0,Suburb,6494.0,52513.0,1,1,2.72,47.0,R1 Research,79423.0,97.8,4,0.866,-0.5,37.1,16843.0,32862.0,49705.0,29718.0,0,0.5659,0.6258,23224.0,0.037
NH,0,Suburb,21917.0,76899.0,0,0,2.14,15.0,R1 Research,88060.0,264.0,3,1.0,0.0,45.6,11152.0,15939.0,27091.0,60969.0,0,0.7928,0.3076,39052.0,0.1029
OK,0,Town,18855.0,74954.0,0,0,3.86,83.0,Regional Comprehensive,38666.0,68.6,4,0.866,-0.5,37.2,18879.0,5497.0,24376.0,14290.0,0,0.1907,0.6304,0.0,0.0319
TX,0,Rural,27904.0,96222.0,0,0,2.54,36.0,Liberal Arts College,64521.0,239.9,10,-0.866,0.5,70.1,18457.0,5394.0,23851.0,40670.0,1,0.4227,0.3697,12766.0,0.0847
FL,0,City,7929.0,44639.0,1,1,3.11,68.0,Regional Comprehensive,46508.0,15.0,4,0.866,-0.5,98.1,21338.0,17367.0,38705.0,7803.0,1,0.1748,0.8322,0.0,0.1818
MA,0,Rural,58187.0,154481.0,1,0,3.63,85.0,R1 Research,77275.0,84.5,3,1.0,0.0,80.5,27343.0,4591.0,31934.0,45341.0,0,0.2935,0.4133,0.0,0.126
NY,0,Town,17903.0,86627.0,1,0,2.46,26.0,Regional Comprehensive,39515.0,431.5,2,0.866,0.5,51.6,10807.0,4215.0,15022.0,24493.0,0,0.2827,0.3802,6590.0,0.0732
MD,0,Suburb,5537.0,24915.0,0,1,3.72,93.0,Regional Comprehensive,52591.0,105.9,12,-0.0,1.0,53.1,26320.0,15863.0,42183.0,10408.0,1,0.4177,0.8021,4871.0,0.1081
NJ,0,Suburb,11960.0,58256.0,0,0,3.01,53.0,Community College,16644.0,53.1,7,-0.5,-0.866,66.6,1668.0,661.0,2329.0,14315.0,1,0.2457,0.1399,2355.0,0.1182
NJ,0,Suburb,12119.0,55606.0,0,0,2.33,28.0,R1 Research,69793.0,63.6,1,0.5,0.866,70.0,14432.0,14676.0,29108.0,40685.0,1,0.7317,0.4171,28566.0,0.2206
LA,0,City,4915.0,53794.0,0,1,3.65,90.0,Liberal Arts College,83675.0,15.0,1,0.5,0.866,89.6,39408.0,23825.0,63233.0,20442.0,1,0.38,0.7557,15527.0,0.0924
MO,0,Rural,19045.0,90825.0,0,0,2.55,50.0,Liberal Arts College,91351.0,43.8,4,0.866,-0.5,38.5,27736.0,12451.0,40187.0,51164.0,1,0.5633,0.4399,32119.0,0.068
CA,0,Suburb,17423.0,99409.0,0,0,2.68,47.0,Community College,16511.0,384.5,6,0.0,-1.0,61.0,0.0,0.0,0.0,16511.0,0,0.1661,0.0,0.0,0.0556
CA,0,Suburb,25266.0,91308.0,0,0,2.97,78.0,Community College,20852.0,68.7,2,0.866,0.5,60.9,3470.0,0.0,3470.0,17382.0,0,0.1904,0.1664,0.0,0.2973
WA,0,Suburb,12480.0,80340.0,0,0,3.49,49.0,Regional Comprehensive,44506.0,77.8,1,0.5,0.866,56.7,16199.0,4807.0,21006.0,23500.0,0,0.2925,0.472,11020.0,0.1961
NC,0,City,21928.0,66947.0,1,0,3.28,78.0,Liberal Arts College,62323.0,15.0,5,0.5,-0.866,35.1,25799.0,10256.0,36055.0,26268.0,1,0.3924,0.5785,4340.0,0.0252
FL,0,City,-1500.0,13375.0,0,1,3.63,66.0,Regional Comprehensive,42243.0,22.9,1,0.5,0.866,36.5,14620.0,19463.0,34083.0,8160.0,0,0.6101,0.8068,9660.0,0.05
OH,1,Suburb,22522.0,110203.0,1,0,3.95,91.0,Community College,15989.0,128.0,4,0.866,-0.5,87.3,2458.0,0.0,2458.0,13531.0,0,0.1228,0.1537,0.0,0.25
WI,0,Suburb,19159.0,89466.0,0,0,3.34,68.0,Liberal Arts College,83822.0,242.3,11,-0.5,0.866,69.2,34724.0,16773.0,51497.0,32325.0,1,0.3613,0.6144,13166.0,0.0431
LA,0,Town,8367.0,30976.0,0,1,3.62,78.0,R1 Research,59183.0,32.4,4,0.866,-0.5,39.5,20236.0,23048.0,43284.0,15899.0,0,0.5133,0.7314,7532.0,0.1628
NJ,0,Suburb,15505.0,77035.0,0,0,3.42,59.0,R2 Doctoral,58614.0,65.3,1,0.5,0.866,30.3,19887.0,10233.0,30120.0,28494.0,1,0.3699,0.5139,12989.0,0.0084
IL,0,Suburb,15307.0,100360.0,1,0,2.48,18.0,Community College,18959.0,122.9,4,0.866,-0.5,64.6,2415.0,1009.0,3424.0,15535.0,1,0.1548,0.1806,228.0,0.2766
FL,0,Town,27107.0,146283.0,0,0,2.72,19.0,Regional Comprehensive,46490.0,36.1,1,0.5,0.866,61.4,12964.0,3542.0,16506.0,29984.0,1,0.205,0.355,2877.0,0.3125
MI,0,City,16126.0,90891.0,1,0,3.83,84.0,Liberal Arts College,76941.0,15.4,9,-1.0,-0.0,30.5,35132.0,15293.0,50425.0,26516.0,1,0.2917,0.6554,10390.0,0.0274
NY,0,Suburb,12404.0,79344.0,0,0,2.83,50.0,Community College,16793.0,107.2,4,0.866,-0.5,97.1,3153.0,1195.0,4348.0,12445.0,0,0.1568,0.2589,41.0,0.1562
NJ,0,Town,22811.0,124452.0,0,0,3.71,90.0,R1 Research,75386.0,231.2,3,1.0,0.0,83.3,25505.0,9180.0,34685.0,40701.0,0,0.327,0.4601,17890.0,0.3125
TN,0,City,17447.0,50478.0,1,0,2.58,54.0,R1 Research,73109.0,235.9,4,0.866,-0.5,44.7,14414.0,12978.0,27392.0,45717.0,0,0.9057,0.3747,28270.0,0.0526
CA,0,City,10303.0,84681.0,1,0,3.0,66.0,Community College,17696.0,317.6,1,0.5,0.866,90.4,1042.0,1543.0,2585.0,15111.0,0,0.1784,0.1461,4808.0,0.2619
CA,0,City,12219.0,40247.0,1,0,3.21,76.0,Regional Comprehensive,56502.0,24.8,2,0.866,0.5,70.0,25339.0,10435.0,35774.0,20728.0,0,0.515,0.6331,8509.0,0.0952
FL,0,City,26798.0,140002.0,0,0,3.87,75.0,Liberal Arts College,65117.0,134.6,2,0.866,0.5,74.9,27118.0,8695.0,35813.0,29304.0,1,0.2093,0.55,2506.0,0.1311
UT,0,Suburb,-1500.0,19752.0,0,1,2.06,34.0,Regional Comprehensive,47251.0,95.6,5,0.5,-0.866,44.0,8323.0,19831.0,28154.0,19097.0,0,0.9668,0.5958,20597.0,0.1333
MA,0,City,19511.0,113329.0,1,0,3.03,61.0,R2 Doctoral,59526.0,115.6,5,0.5,-0.866,74.3,20254.0,8472.0,28726.0,30800.0,0,0.2718,0.4826,11289.0,0.0435
TX,0,Suburb,4242.0,63752.0,1,1,2.91,35.0,R1 Research,69360.0,101.4,1,0.5,0.866,100.0,14617.0,20770.0,35387.0,33973.0,1,0.5329,0.5102,29731.0,0.1613
UT,0,City,24544.0,126131.0,0,0,3.63,93.0,R2 Doctoral,57459.0,63.3,10,-0.866,0.5,75.9,25075.0,8824.0,33899.0,23560.0,1,0.1868,0.59,0.0,0.1507
GA,0,City,5211.0,35883.0,1,1,1.98,5.0,R1 Research,75974.0,15.0,2,0.866,0.5,79.2,7935.0,26477.0,34412.0,41562.0,0,1.1583,0.4529,36351.0,0.0777
GA,0,Suburb,10007.0,67157.0,1,0,2.43,20.0,Community College,18804.0,429.1,10,-0.866,0.5,25.3,2247.0,1855.0,4102.0,14702.0,0,0.2189,0.2181,4695.0,0.0423
MS,0,City,5335.0,65753.0,1,1,3.69,99.0,Community College,17593.0,179.2,2,0.866,0.5,81.3,247.0,5315.0,5562.0,12031.0,1,0.183,0.3161,6696.0,0.1719
CA,0,Rural,13695.0,86025.0,0,0,3.11,62.0,Liberal Arts College,76157.0,26.7,4,0.866,-0.5,68.4,23973.0,11783.0,35756.0,40401.0,1,0.4696,0.4695,26706.0,0.34
FL,0,Suburb,6478.0,29607.0,0,1,3.83,73.0,R1 Research,66508.0,208.2,3,1.0,0.0,46.3,22427.0,18096.0,40523.0,25985.0,0,0.8777,0.6093,19507.0,0.0674
VA,0,City,20629.0,99516.0,0,0,3.15,54.0,Regional Comprehensive,51153.0,79.2,6,0.0,-1.0,52.5,19768.0,4806.0,24574.0,26579.0,1,0.2671,0.4804,5950.0,0.0385
TX,0,City,-1500.0,16663.0,1,1,2.72,58.0,R2 Doctoral,61228.0,81.6,2,0.866,0.5,64.3,19438.0,24689.0,44127.0,17101.0,0,1.0263,0.7207,18601.0,0.0667
TN,0,Suburb,2853.0,38916.0,1,1,1.66,,R1 Research,72648.0,56.5,6,0.0,-1.0,71.9,4566.0,33061.0,37627.0,35021.0,1,0.8999,0.5179,32168.0,0.1944
FL,0,Suburb,7221.0,20432.0,1,1,1.69,3.0,R1 Research,65268.0,222.7,3,1.0,0.0,39.0,5907.0,18432.0,24339.0,40929.0,0,2.0032,0.3729,33708.0,0.058
CA,0,Town,16947.0,114270.0,1,0,3.17,60.0,Liberal Arts College,73788.0,54.7,8,-0.866,-0.5,61.4,28487.0,15607.0,44094.0,29694.0,1,0.2599,0.5976,12747.0,0.16
TX,0,Suburb,19512.0,83960.0,1,0,2.52,72.0,Regional Comprehensive,42327.0,40.1,4,0.866,-0.5,92.0,16516.0,5229.0,21745.0,20582.0,1,0.2451,0.5137,1070.0,0.0781
OH,1,Suburb,18608.0,87409.0,1,0,3.45,53.0,Regional Comprehensive,30539.0,120.4,9,-1.0,-0.0,69.2,11276.0,3110.0,14386.0,16153.0,0,0.1848,0.4711,0.0,0.0294
TX,0,Suburb,51103.0,181806.0,0,0,3.49,55.0,Liberal Arts College,60898.0,105.0,10,-0.866,0.5,35.3,23099.0,2392.0,25491.0,35407.0,1,0.1948,0.4186,0.0,0.125
TX,0,Town,3434.0,50137.0,1,1,1.81,3.0,Regional Comprehensive,42470.0,108.5,3,1.0,0.0,69.9,7739.0,14524.0,22263.0,20207.0,1,0.403,0.5242,16773.0,0.0741
OR,0,Suburb,20645.0,97626.0,0,0,3.6,70.0,R1 Research,62081.0,262.2,1,0.5,0.866,71.5,18940.0,9589.0,28529.0,33552.0,0,0.3437,0.4595,12907.0,0.1538
NY,0,City,15384.0,66008.0,1,0,1.87,13.0,Community College,17232.0,62.9,1,0.5,0.866,29.6,0.0,516.0,516.0,16716.0,1,0.2532,0.0299,1332.0,0.0385
PA,0,Town,13739.0,59155.0,0,0,2.28,22.0,Regional Comprehensive,53207.0,77.5,2,0.866,0.5,67.4,14411.0,5643.0,20054.0,33153.0,1,0.5604,0.3769,19414.0,0.08
CA,0,Town,29836.0,161260.0,0,0,3.38,81.0,R2 Doctoral,54031.0,174.7,5,0.5,-0.866,59.5,21055.0,6710.0,27765.0,26266.0,0,0.1629,0.5139,0.0,0.0952
PA,0,Suburb,53099.0,281800.0,0,0,2.97,55.0,Liberal Arts College,78886.0,25.1,7,-0.5,-0.866,29.2,25719.0,7003.0,32722.0,46164.0,1,0.1638,0.4148,0.0,0.0388
FL,0,Rural,6341.0,46136.0,0,1,2.7,31.0,Regional Comprehensive,43968.0,159.8,6,0.0,-1.0,92.7,11338.0,13844.0,25182.0,18786.0,0,0.4072,0.5727,12445.0,0.2115
WA,0,Rural,32127.0,114723.0,0,0,2.78,44.0,Liberal Arts College,83239.0,57.3,1,0.5,0.866,68.4,25448.0,10677.0,36125.0,47114.0,1,0.4107,0.434,14987.0,0.0748
TX,0,City,19710.0,79203.0,1,0,3.32,64.0,Liberal Arts College,73057.0,311.1,4,0.866,-0.5,60.4,27207.0,10609.0,37816.0,35241.0,1,0.4449,0.5176,15531.0,0.0899
UT,0,Town,13890.0,79890.0,1,0,3.33,83.0,R2 Doctoral,52677.0,224.9,8,-0.866,-0.5,45.0,18601.0,7811.0,26412.0,26265.0,1,0.3288,0.5014,12375.0,0.0331
MS,0,Suburb,12676.0,75205.0,0,0,3.22,75.0,Liberal Arts College,70107.0,195.8,9,-1.0,-0.0,57.6,29213.0,9678.0,38891.0,31216.0,1,0.4151,0.5547,18540.0,0.1622
